,0
worst radius,0.28412753
worst perimeter,0.25248003
mean concave points,0.13146803
worst concave points,0.06873263
worst area,0.04502352
worst concavity,0.023954285
texture error,0.020145547
worst texture,0.017762488
mean texture,0.016114276
mean area,0.014067402
mean radius,0.013409018
perimeter error,0.012425324
concave points error,0.008951859
area error,0.008684354
worst smoothness,0.008628328
radius error,0.0073905652
worst compactness,0.006907583
mean smoothness,0.006686095
mean concavity,0.00667964
smoothness error,0.0053163473
compactness error,0.0050451225
mean fractal dimension,0.0048176018
mean compactness,0.004400484
concavity error,0.0043376093
mean perimeter,0.0041303104
worst symmetry,0.0041270913
worst fractal dimension,0.004114661
fractal dimension error,0.0039017573
mean symmetry,0.0030981
symmetry error,0.0030723596
